Module,Cluster,Cluster_location,Function,position,Module_color
M15.47,A32,6,Antigen presentation,A32.6,#4FF300
M15.48,A3,14,TBD,A3.14,#FFFFFF
M15.49,A4,1,Cell death,A4.1,#000000
M15.50,A2,31,TBD,A2.31,#FFFFFF
M15.51,A1,26,Protein synthesis,A1.26,#8B63FF
M15.52,A3,15,TBD,A3.15,#FFFFFF
M15.53,A37,6,Erythrocytes,A37.6,#EA7C1E
M15.54,A2,32,TBD,A2.32,#FFFFFF
M15.55,A25,5,Protein phosphorylation,A25.5,#C5A44B
M15.56,A30,1,Cell adhesion,A30.1,#4F8F00
M15.57,A26,10,TBD,A26.10,#FFFFFF
M15.58,A31,2,Monocytes,A31.2,#004181
M15.59,A7,5,TBD,A7.5,#FFFFFF
M15.60,A1,33,TBD,A1.33,#FFFFFF
M15.61,A7,2,Monocytes,A7.2,#004181
M15.62,A32,22,TBD,A32.22,#FFFFFF
M15.63,A26,11,TBD,A26.11,#FFFFFF
